zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county
11209.0,2500.0,2.0,1.0,700.0,Brooklyn,New York,Kings
11209.0,509000.0,2.0,2.0,1100.0,Brooklyn,New York,Kings
11209.0,1495000.0,3.0,2.0,1700.0,Brooklyn,New York,Kings
11209.0,1098000.0,3.0,3.0,1594.0,Brooklyn,New York,Kings
11210.0,1595000.0,7.0,5.0,1796.0,Brooklyn,New York,Kings
11210.0,1595000.0,7.0,5.0,1796.0,Brooklyn,New York,Kings
11210.0,425000.0,2.0,1.0,1008.0,Brooklyn,New York,Kings
11210.0,689000.0,3.0,4.0,1284.0,Brooklyn,New York,Kings
11210.0,1189000.0,6.0,4.0,1933.0,Brooklyn,New York,Kings
11211.0,299900.0,2.0,1.0,800.0,Brooklyn,New York,Kings
11211.0,2249000.0,5.0,2.0,1920.0,Brooklyn,New York,Kings
11212.0,1400000.0,6.0,6.0,3680.0,Brooklyn,New York,Kings
11212.0,695000.0,7.0,4.0,3750.0,Brooklyn,New York,Kings
11214.0,1699000.0,6.0,5.0,3420.0,Brooklyn,New York,Kings
11214.0,1068888.0,5.0,4.0,1802.0,Brooklyn,New York,Kings
11214.0,928000.0,3.0,2.0,1376.0,Brooklyn,New York,Kings
11214.0,2750.0,3.0,2.0,1210.0,Brooklyn,New York,Kings
11214.0,1298000.0,7.0,3.0,3120.0,Brooklyn,New York,Kings
11214.0,1500000.0,3.0,1.0,2872.0,Brooklyn,New York,Kings
11214.0,1688000.0,8.0,6.0,3828.0,Brooklyn,New York,Kings
11214.0,1598000.0,5.0,4.0,2000.0,Brooklyn,New York,Kings
11214.0,1500000.0,3.0,1.0,2872.0,Brooklyn,New York,Kings
11214.0,355000.0,1.0,1.0,473.0,Brooklyn,New York,Kings
11214.0,298000.0,1.0,1.0,750.0,Brooklyn,New York,Kings
11214.0,2500.0,3.0,1.0,3000.0,Brooklyn,New York,Kings
11214.0,298000.0,1.0,1.0,750.0,Brooklyn,New York,Kings
11215.0,2800000.0,6.0,3.0,3040.0,Brooklyn,New York,Kings
11219.0,650000.0,2.0,2.0,889.0,Brooklyn,New York,Kings
11219.0,558000.0,1.0,1.0,602.0,Brooklyn,New York,Kings
11219.0,1200000.0,5.0,4.0,2080.0,Brooklyn,New York,Kings
11219.0,758000.0,2.0,1.0,811.0,Brooklyn,New York,Kings
11219.0,738000.0,3.0,2.0,890.0,Brooklyn,New York,Kings
11220.0,1950000.0,10.0,6.0,2880.0,Brooklyn,New York,Kings
11220.0,998000.0,9.0,3.0,2232.0,Brooklyn,New York,Kings
11221.0,1298000.0,8.0,3.0,3630.0,Brooklyn,New York,Kings
11221.0,3700.0,2.0,2.0,1200.0,Brooklyn,New York,Kings
11221.0,1499000.0,4.0,2.0,2520.0,Brooklyn,New York,Kings
11221.0,1298000.0,8.0,3.0,3630.0,Brooklyn,New York,Kings
11222.0,4199000.0,8.0,11.0,9682.0,Brooklyn,New York,Kings
11222.0,6500000.0,8.0,9.0,6000.0,Brooklyn,New York,Kings
11223.0,1499000.0,3.0,2.0,1000.0,Brooklyn,New York,Kings
11223.0,550000.0,1.0,1.0,737.0,Brooklyn,New York,Kings
11223.0,675000.0,2.0,2.0,1029.0,Brooklyn,New York,Kings
11223.0,950000.0,3.0,2.0,1401.0,Brooklyn,New York,Kings
11223.0,368000.0,1.0,1.0,491.0,Brooklyn,New York,Kings
11223.0,595000.0,1.0,1.0,824.0,Brooklyn,New York,Kings
11223.0,540000.0,1.0,1.0,707.0,Brooklyn,New York,Kings
11223.0,1350000.0,3.0,3.0,1998.0,Brooklyn,New York,Kings
11223.0,1899000.0,7.0,4.0,3600.0,Brooklyn,New York,Kings
11223.0,1350000.0,3.0,3.0,1998.0,Brooklyn,New York,Kings
11223.0,750000.0,2.0,2.0,1026.0,Brooklyn,New York,Kings
11224.0,429000.0,2.0,2.0,1050.0,Brooklyn,New York,Kings
11224.0,369000.0,2.0,1.0,1000.0,Brooklyn,New York,Kings
11226.0,548888.0,2.0,1.0,845.0,Brooklyn,New York,Kings
11228.0,335000.0,1.0,1.0,550.0,Brooklyn,New York,Kings
11228.0,1265000.0,3.0,3.0,2360.0,Brooklyn,New York,Kings
11228.0,1499999.0,3.0,2.0,1470.0,Brooklyn,New York,Kings
11228.0,325000.0,1.0,1.0,650.0,Brooklyn,New York,Kings
11228.0,385000.0,1.0,1.0,640.0,Brooklyn,New York,Kings
11228.0,1265000.0,3.0,3.0,2700.0,Brooklyn,New York,Kings
11228.0,1100000.0,4.0,3.0,1400.0,Brooklyn,New York,Kings
11228.0,1688888.0,5.0,4.0,2580.0,Brooklyn,New York,Kings
11229.0,748000.0,2.0,2.0,930.0,Brooklyn,New York,Kings
